run_num,alg,dataset,te,de,wu,vu
1,RR,Random,7.24,28.78,28.07,56.67
1,KM,Random,15.98,95.43,49.26,98.13
1,RR-GA,Random,16.30,99.16,49.75,99.71
1,KM-GA,Random,17.09,109.23,50.58,99.45
2,RR,Random,7.41,29.24,28.87,58.16
2,KM,Random,17.30,110.48,50.07,99.73
2,RR-GA,Random,17.22,109.42,49.90,99.16
2,KM-GA,Random,18.22,123.74,49.45,99.40
3,RR,Random,7.47,29.55,29.21,59.16
3,KM,Random,17.16,108.74,50.43,99.72
3,RR-GA,Random,16.94,105.87,49.72,99.46
3,KM-GA,Random,18.59,129.62,50.17,99.22
4,RR,Random,7.29,28.67,28.41,57.76
4,KM,Random,15.95,93.87,49.33,97.85
4,RR-GA,Random,16.73,103.29,49.77,99.45
4,KM-GA,Random,17.57,114.40,49.77,99.68
5,RR,Random,7.45,29.36,28.95,58.75
5,KM,Random,16.64,101.66,50.77,99.77
5,RR-GA,Random,16.48,99.62,49.93,99.83
5,KM-GA,Random,16.82,103.84,50.18,99.44


